"index","peru"
2002-01-01,12.1050269229589
2002-01-02,12.0754011743505
2002-01-03,10.06494355369
2002-01-04,9.7770561880244
2002-01-05,10.9122034517884
2002-01-06,9.75834034772754
2002-01-07,11.9170086142813
2002-01-08,12.6443154792606
2002-01-09,11.6755573778496
2002-01-10,8.82189282114061
2002-01-11,11.6633482200142
2002-01-12,11.2252073170728
2002-01-13,11.7181582986766
2002-01-14,11.3329666642138
2002-01-15,11.6859315607638
2002-01-16,8.93132664424511
2002-01-17,12.5732358060196
2002-01-18,12.2329983193684
2002-01-19,11.2594664947111
2002-01-20,15.1152366499062
2002-01-21,13.0132492258985
2002-01-22,13.4664800751147
2002-01-23,15.0680637089433
2002-01-24,15.2643224339649
2002-01-25,14.2561761596809
2002-01-26,15.2345039653985
2002-01-27,13.5302691614898
2002-01-28,16.1453353887797
2002-01-29,17.9404088905758
2002-01-30,15.1029924287146
2002-01-31,9.67285572638932
2002-02-01,15.9768106038061
2002-02-02,11.9265493787401
2002-02-03,11.53803445801
2002-02-04,11.1929165171588
2002-02-05,16.0431662022078
2002-02-06,9.82446631264548
2002-02-07,15.8687901145771
2002-02-08,14.0946075949906
2002-02-09,10.6886432573697
2002-02-10,11.9806637677806
2002-02-11,12.4825016364037
2002-02-12,12.9871679031944
2002-02-13,10.2633556558182
2002-02-14,11.6731032281107
2002-02-15,11.9409851973103
2002-02-16,8.32852359787161
2002-02-17,9.56499724220092
2002-02-18,11.7444399476016
2002-02-19,13.6830498897082
2002-02-20,11.9844084224663
2002-02-21,10.3511628983198
2002-02-22,12.0213464806785
2002-02-23,14.2253443833118
2002-02-24,14.3837426207585
2002-02-25,9.91091983435308
2002-02-26,12.1246282400272
2002-02-27,11.4204550598039
2002-02-28,6.4775592368665
2002-03-01,12.7723992661871
2002-03-02,12.2143751181152
2002-03-03,13.1345403626544
2002-03-04,8.31143101602679
2002-03-05,9.84373471359884
2002-03-06,8.68769785485183
2002-03-07,9.99138457253994
2002-03-08,5.85087022950885
2002-03-09,9.38053439808226
2002-03-10,8.64196503249001
2002-03-11,8.46629237360667
2002-03-12,7.1156247576828
2002-03-13,8.41518542909328
2002-03-14,7.37300626414666
2002-03-15,7.26131252263098
2002-03-16,7.29484497709173
2002-03-17,4.861815970784
2002-03-18,4.40794155932817
2002-03-19,4.9578424997421
2002-03-20,5.23408933372048
2002-03-21,4.35613380539292
2002-03-22,4.07225588092162
2002-03-23,4.24128059259602
2002-03-24,4.82713370961077
2002-03-25,3.1144943878727
2002-03-26,2.695730605455
2002-03-27,1.84590947526207
2002-03-28,2.11244055768646
2002-03-29,1.43511912014569
2002-03-30,1.61345566664499
2002-03-31,2.35607889181816
2002-04-01,2.14186305777978
2002-04-02,2.8250305696773
2002-04-03,2.2088191954383
2002-04-04,4.00357544044845
2002-04-05,4.71975864277853
2002-04-06,4.29535048037628
2002-04-07,3.88091160598142
2002-04-08,4.0263938798564
2002-04-09,6.11369521907556
2002-04-10,7.09522499942337
2002-04-11,8.92141168446188
2002-04-12,10.3295251581503
2002-04-13,4.6185846731143
2002-04-14,9.9202160712302
2002-04-15,10.8684917514023
2002-04-16,10.9023425242552
2002-04-17,9.97147627269924
2002-04-18,6.28828902641654
2002-04-19,8.19525717052588
2002-04-20,9.29856674190582
2002-04-21,12.0525641431459
2002-04-22,12.7379577185673
2002-04-23,9.20324299436766
2002-04-24,8.45859807071406
2002-04-25,10.0352573980606
2002-04-26,9.69190510961248
2002-04-27,8.0589689975038
2002-04-28,9.17054906139597
2002-04-29,10.1299511782948
2002-04-30,12.7832055437483
2002-05-01,7.38788946232228
2002-05-02,8.56043871879394
2002-05-03,11.6647276473426
2002-05-04,9.68588382650588
2002-05-05,10.8159154745837
2002-05-06,10.7272972135887
2002-05-07,12.1191742410074
2002-05-08,14.7686601758938
2002-05-09,14.2721434997527
2002-05-10,12.2710770381951
2002-05-11,14.6127664658708
2002-05-12,12.1928748203374
2002-05-13,11.3091516888921
2002-05-14,13.1924151662714
2002-05-15,11.9422854464602
2002-05-16,9.59030933413994
2002-05-17,7.35878060678295
2002-05-18,10.6702705953951
2002-05-19,9.86701701582648
2002-05-20,13.3915496588967
2002-05-21,8.48400663843351
2002-05-22,12.606398620699
2002-05-23,9.62726431344968
2002-05-24,12.7442482368666
2002-05-25,8.72627336464346
2002-05-26,14.2044366270733
2002-05-27,10.5630754247523
2002-05-28,9.95748597665909
2002-05-29,6.73380995868963
2002-05-30,7.98944759808615
2002-05-31,9.34104020988805
2002-06-01,7.96846853068612
2002-06-02,7.08320466948846
2002-06-03,7.14139657929729
2002-06-04,8.18185477152766
2002-06-05,5.77144010690328
2002-06-06,8.57311281451487
2002-06-07,8.62137562723954
2002-06-08,7.94813085679105
2002-06-09,8.99998614667788
2002-06-10,9.36487707969835
2002-06-11,6.7177908232743
2002-06-12,8.29684641873019
2002-06-13,6.92378594543008
2002-06-14,9.2824477507269
2002-06-15,11.4283418145828
2002-06-16,8.57831131992711
2002-06-17,8.76917180849839
2002-06-18,10.2575270370079
2002-06-19,11.1227325932714
2002-06-20,9.86382615271302
2002-06-21,8.6895140120612
2002-06-22,8.20950907018753
2002-06-23,6.14044772677282
2002-06-24,7.16808412423594
2002-06-25,7.79599916637052
2002-06-26,8.19377055694961
2002-06-27,7.1723332771521
2002-06-28,8.07142290318524
2002-06-29,8.88714501468452
2002-06-30,8.28195059173879
2002-07-01,6.69668807217434
2002-07-02,8.17337923763298
2002-07-03,5.99180216239093
2002-07-04,7.29671489602426
2002-07-05,6.39097354829159
